,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
67,GREAT WHITE 1H,24:00:00,12.5,29.45,14.99,125,90,,2021-04-14
68,GREAT WHITE 2H,24:00:00,33.33,47.06,15.0,125,90,,2021-04-14
69,JAVELINA 1H,24:00:00,20.02,15.18,6.67,130,80,,2021-04-14
70,MANTA 1H,24:00:00,18.94,35.13,16.74,200,80,,2021-04-14
71,REEF 3H,24:00:00,27.25,61.0,35.0,200,70,6.5spm,2021-04-14
72,RIDGEBACK 1H,24:00:00,16.29,11.82,3.34,120,80,7.1spm,2021-04-14
73,SEA WASP 2H,24:00:00,16.77,110.76,7.91,150,80,,2021-04-14
74,STINGRAY 2H,24:00:00,12.96,6.28,0.01,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-14
79,Summary,,352.05,690.93,204.65,,,,2021-04-14
75,THORNY DEVIL 1H,24:00:00,41.56,105.69,19.17,180,100,,2021-04-14
76,THORNY DEVIL 2H,24:00:00,54.15,123.73,29.16,180,100,,2021-04-14
77,THORNY DEVIL 3H,24:00:00,17.56,37.65,4.58,150,80,,2021-04-14
78,WOMBAT 2H,24:00:00,19.2,32.17,16.25,140,80,.,2021-04-14
80,CROC 1H,24:00:00,8.31,23.29,25.0,240,70,"12on/12off, 6.5spm",2021-04-13
81,GALAH 3H,24:00:00,34.24,52.7,20.0,150,80,,2021-04-13
82,GOANNA 1H,24:00:00,18.41,13.93,10.0,180,80,,2021-04-13
83,GREAT WHITE 1H,24:00:00,60.83,66.06,30.67,125,90,,2021-04-13
84,GREAT WHITE 2H,24:00:00,51.67,64.15,20.0,125,90,,2021-04-13
85,JAVELINA 1H,24:00:00,20.43,15.26,7.91,130,80,"12hrs on/12hrs off, 7.3spm",2021-04-13
86,MANTA 1H,24:00:00,19.53,24.82,5.58,200,80,,2021-04-13
87,REEF 3H,24:00:00,29.06,30.63,1.67,200,70,6.5spm,2021-04-13
88,RIDGEBACK 1H,24:00:00,17.12,12.05,3.33,120,80,7.1spm,2021-04-13
89,SEA WASP 2H,24:00:00,24.75,4.31,47.09,100,400,LTF 50/20,2021-04-13
90,STINGRAY 2H,24:00:00,17.54,10.03,2.5,200,80,"12hrs on/12hrs off, 6.6spm.",2021-04-13
95,Summary,,428.83,586.98,245.84,,,,2021-04-13
91,THORNY DEVIL 1H,24:00:00,39.15,106.25,19.17,180,100,,2021-04-13
92,THORNY DEVIL 2H,24:00:00,56.46,130.8,32.5,180,100,,2021-04-13
93,THORNY DEVIL 3H,24:00:00,12.12,29.7,4.17,150,80,,2021-04-13
94,WOMBAT 2H,24:00:00,19.21,3.0,16.25,140,80,,2021-04-13
96,CROC 1H,24:00:00,11.65,5.08,11.67,240,70,"12on/12off, 6.5spm",2021-04-12
97,GALAH 3H,24:00:00,40.07,56.56,17.91,150,80,,2021-04-12
98,GOANNA 1H,24:00:00,20.95,15.06,5.0,200,80,,2021-04-12
99,GREAT WHITE 1H,24:00:00,55.0,71.15,23.34,125,90,,2021-04-12
100,GREAT WHITE 2H,24:00:00,38.33,52.93,15.0,125,90,,2021-04-12
101,JAVELINA 1H,24:00:00,20.85,14.75,4.59,130,80,,2021-04-12
102,MANTA 1H,24:00:00,25.1,45.13,21.66,200,80,,2021-04-12
103,REEF 3H,24:00:00,26.6,29.44,3.33,200,70,6.5spm,2021-04-12
104,RIDGEBACK 1H,24:00:00,15.34,11.9,6.25,120,80,,2021-04-12
105,SEA WASP 2H,24:00:00,3.34,12.97,0.01,100,80,,2021-04-12
106,STINGRAY 2H,24:00:00,27.14,29.26,12.08,200,80,,2021-04-12
111,Summary,,401.33,636.81,206.65,,,,2021-04-12
107,THORNY DEVIL 1H,24:00:00,36.55,104.38,19.16,180,100,,2021-04-12
108,THORNY DEVIL 2H,24:00:00,40.69,122.44,47.5,180,100,,2021-04-12
109,THORNY DEVIL 3H,24:00:00,19.23,32.31,2.91,150,80,,2021-04-12
110,WOMBAT 2H,24:00:00,20.49,33.45,16.25,140,80,,2021-04-12
112,CROC 1H,24:00:00,4.99,5.88,3.75,240,70,"12on/12off, 6.5spm",2021-04-11
113,GALAH 3H,24:00:00,43.01,59.52,21.67,150,80,put back in auto,2021-04-11
114,GOANNA 1H,24:00:00,20.06,11.34,5.0,200,80,,2021-04-11
115,GREAT WHITE 1H,24:00:00,49.48,73.25,32.33,125,90,,2021-04-11
116,GREAT WHITE 2H,24:00:00,42.93,58.18,15.0,125,90,,2021-04-11
117,JAVELINA 1H,24:00:00,19.18,15.05,9.16,130,80,,2021-04-11
118,MANTA 1H,24:00:00,17.45,18.97,3.49,200,80,,2021-04-11
119,REEF 3H,24:00:00,28.69,52.54,27.09,200,70,6.5spm,2021-04-11
120,RIDGEBACK 1H,24:00:00,12.55,11.75,2.5,120,80,,2021-04-11
121,SEA WASP 2H,24:00:00,8.36,9.07,0.01,100,80,,2021-04-11
122,STINGRAY 2H,24:00:00,16.24,7.91,2.09,200,80,,2021-04-11
127,Summary,,361.47,585.5,199.85,,,,2021-04-11
123,THORNY DEVIL 1H,24:00:00,42.37,105.51,18.34,180,100,,2021-04-11
124,THORNY DEVIL 2H,24:00:00,20.85,87.04,40.84,160,100,Put back in auto,2021-04-11
125,THORNY DEVIL 3H,24:00:00,18.39,36.18,4.59,150,80,,2021-04-11
126,WOMBAT 2H,24:00:00,16.92,33.31,14.0,140,80,,2021-04-11
128,CROC 1H,24:00:00,11.64,7.96,7.91,200,70,"12on/12off, 6.5spm",2021-04-10
129,GALAH 3H,24:00:00,28.13,51.54,19.58,150,80,Hotoiled flowline,2021-04-10
130,GOANNA 1H,24:00:00,18.39,13.0,5.0,200,80,,2021-04-10
131,GREAT WHITE 1H,24:00:00,54.17,74.94,33.33,125,90,,2021-04-10
132,GREAT WHITE 2H,24:00:00,37.5,56.75,20.0,125,90,,2021-04-10
133,JAVELINA 1H,24:00:00,20.85,15.17,5.42,130,80,,2021-04-10
134,MANTA 1H,24:00:00,27.19,46.63,29.99,200,80,,2021-04-10
135,REEF 3H,24:00:00,36.19,32.98,4.58,200,70,6.5 spm,2021-04-10
136,RIDGEBACK 1H,24:00:00,17.54,11.59,2.5,120,80,,2021-04-10
137,SEA WASP 2H,24:00:00,15.04,35.82,3.33,150,80,,2021-04-10
138,STINGRAY 2H,24:00:00,19.3,10.98,4.16,200,80,pulled bottoms tk 02,2021-04-10
143,Summary,,367.48,592.41,219.96,,,,2021-04-10
139,THORNY DEVIL 1H,24:00:00,39.88,106.51,22.5,180,100,,2021-04-10
140,THORNY DEVIL 2H,24:00:00,15.77,61.72,28.33,120,280,LTF 50/20,2021-04-10
141,THORNY DEVIL 3H,24:00:00,5.85,32.71,13.33,150,80,,2021-04-10
142,WOMBAT 2H,24:00:00,20.04,34.11,20.0,140,80,,2021-04-10
144,CROC 1H,24:00:00,4.99,17.48,33.34,250,80,"12on/12off, 6.5spm",2021-04-09
