,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
7353,SEA WASP 2H,24:00:00,18.44,57.7,3.33,180,80,Chem treated,2020-01-15
7354,STINGRAY 2H,24:00:00,44.56,48.91,17.0,225,90,,2020-01-15
7359,Summary,,617.48,1223.58,387.51,,,,2020-01-15
7355,THORNY DEVIL 1H,24:00:00,84.79,156.72,47.0,225,100,,2020-01-15
7356,THORNY DEVIL 2H,24:00:00,71.27,348.43,63.0,225,100,,2020-01-15
7357,THORNY DEVIL 3H,24:00:00,20.06,30.03,10.0,225,100,,2020-01-15
7358,WOMBAT 2H,24:00:00,16.7,21.3,20.0,220,90,,2020-01-15
7360,CROC 1H,24:00:00,21.71,4.0,13.0,200,70,3on3off,2020-01-14
7361,GALAH 3H,24:00:00,50.11,62.48,20.0,225,100,,2020-01-14
7362,GOANNA 1H,24:00:00,41.81,54.36,52.0,220,100,,2020-01-14
7363,GREAT WHITE 1H,24:00:00,81.66,261.7,35.0,125,90,,2020-01-14
7364,GREAT WHITE 2H,24:00:00,81.67,105.5,35.0,125,90,,2020-01-14
7365,JAVELINA 1H,24:00:00,21.68,17.82,10.0,150,80,20 on 2 off,2020-01-14
7366,MANTA 1H,24:00:00,36.26,44.33,33.0,225,100,,2020-01-14
7367,REEF 3H,24:00:00,48.27,4.0,15.0,200,80,,2020-01-14
7368,RIDGEBACK 1H,24:00:00,20.05,13.6,5.0,120,70,,2020-01-14
7369,SEA WASP 2H,24:00:00,13.42,54.56,5.0,180,80,,2020-01-14
7370,STINGRAY 2H,24:00:00,18.4,17.52,10.0,225,90,,2020-01-14
7375,Summary,,645.15,1173.83,371.0,,,,2020-01-14
7371,THORNY DEVIL 1H,24:00:00,93.62,151.75,56.0,225,100,,2020-01-14
7372,THORNY DEVIL 2H,24:00:00,74.73,328.16,55.0,225,100,,2020-01-14
7373,THORNY DEVIL 3H,24:00:00,25.06,39.79,12.0,225,100,,2020-01-14
7374,WOMBAT 2H,24:00:00,16.7,14.26,15.0,220,90,,2020-01-14
7376,CROC 1H,24:00:00,15.78,4.0,10.0,200,70,3on3off,2020-01-13
7377,GALAH 3H,24:00:00,51.8,62.0,27.0,225,100,,2020-01-13
7378,GOANNA 1H,24:00:00,41.81,54.0,55.0,220,100,,2020-01-13
7379,GREAT WHITE 1H,24:00:00,83.33,265.81,40.0,125,90,,2020-01-13
7380,GREAT WHITE 2H,24:00:00,61.67,101.33,35.0,125,90,,2020-01-13
7381,JAVELINA 1H,24:00:00,25.02,17.57,15.0,150,80,20on2off,2020-01-13
7382,MANTA 1H,24:00:00,41.84,48.0,33.0,225,100,,2020-01-13
7383,REEF 3H,24:00:00,35.05,41.56,18.0,200,80,,2020-01-13
7384,RIDGEBACK 1H,24:00:00,18.38,13.43,7.0,120,70,,2020-01-13
7385,SEA WASP 2H,24:00:00,15.66,58.49,5.0,160,80,,2020-01-13
7386,STINGRAY 2H,24:00:00,38.43,44.4,18.0,225,90,,2020-01-13
7391,Summary,,614.64,1200.59,388.0,,,,2020-01-13
7387,THORNY DEVIL 1H,24:00:00,79.8,147.0,42.0,225,100,,2020-01-13
7388,THORNY DEVIL 2H,24:00:00,69.32,284.0,55.0,225,100,sep/flowline plugged - hot oiled,2020-01-13
7389,THORNY DEVIL 3H,24:00:00,25.06,42.0,10.0,225,100,,2020-01-13
7390,WOMBAT 2H,24:00:00,11.69,17.0,18.0,220,90,,2020-01-13
7392,CROC 1H,24:00:00,19.96,4.0,7.0,20,70,3on3off,2020-01-12
7393,GALAH 3H,24:00:00,48.46,31.0,20.0,225,100,,2020-01-12
7394,GOANNA 1H,24:00:00,50.18,55.0,65.0,220,100,,2020-01-12
7395,GREAT WHITE 1H,24:00:00,82.6,263.94,38.33,125,90,,2020-01-12
7396,GREAT WHITE 2H,24:00:00,69.41,103.65,38.33,125,90,,2020-01-12
7397,JAVELINA 1H,24:00:00,20.01,16.28,10.0,150,80,20on2off,2020-01-12
7398,MANTA 1H,24:00:00,40.72,52.0,33.0,220,100,,2020-01-12
7399,REEF 3H,24:00:00,41.6,42.34,17.0,20,80,,2020-01-12
7400,RIDGEBACK 1H,24:00:00,20.05,12.06,7.0,120,70,,2020-01-12
7401,SEA WASP 2H,24:00:00,18.38,58.79,6.67,180,80,,2020-01-12
7402,STINGRAY 2H,24:00:00,15.04,19.92,30.0,225,90,"2hrs to bleed, pump and surge tbg(good pump action)",2020-01-12
7407,Summary,,618.08,1140.98,412.33,,,,2020-01-12
7403,THORNY DEVIL 1H,24:00:00,78.13,142.0,55.0,225,100,,2020-01-12
7404,THORNY DEVIL 2H,24:00:00,76.78,288.0,60.0,225,100,,2020-01-12
7405,THORNY DEVIL 3H,24:00:00,20.06,33.0,10.0,225,100,,2020-01-12
7406,WOMBAT 2H,24:00:00,16.7,19.0,15.0,220,90,,2020-01-12
7408,CROC 1H,24:00:00,13.32,4.0,7.0,200,70,3on3off,2020-01-11
7409,GALAH 3H,24:00:00,43.4,35.34,27.0,225,100,,2020-01-11
7410,GOANNA 1H,24:00:00,47.89,44.82,62.0,220,100,,2020-01-11
7411,GREAT WHITE 1H,24:00:00,84.06,268.62,45.0,125,90,,2020-01-11
7412,GREAT WHITE 2H,24:00:00,83.33,98.81,33.33,125,90,,2020-01-11
7413,JAVELINA 1H,24:00:00,25.01,17.25,12.0,150,80,20on2off,2020-01-11
7414,MANTA 1H,24:00:00,47.42,59.63,36.0,220,100,,2020-01-11
7415,REEF 3H,24:00:00,36.61,42.33,7.0,200,80,,2020-01-11
7416,RIDGEBACK 1H,24:00:00,20.06,13.36,5.0,120,70,,2020-01-11
7417,SEA WASP 2H,24:00:00,18.38,55.0,5.0,160,80,Chemcial treat,2020-01-11
7418,STINGRAY 2H,24:00:00,20.05,42.19,40.0,225,90,,2020-01-11
7423,Summary,,645.8,1128.86,439.33,,,,2020-01-11
7419,THORNY DEVIL 1H,24:00:00,77.32,138.53,60.0,225,100,,2020-01-11
7420,THORNY DEVIL 2H,24:00:00,81.25,254.6,67.0,225,100,,2020-01-11
7421,THORNY DEVIL 3H,24:00:00,27.66,34.85,10.0,225,100,,2020-01-11
7422,WOMBAT 2H,24:00:00,20.04,19.53,23.0,220,90,,2020-01-11
7424,CROC 1H,24:00:00,16.65,4.0,15.0,200,70,3on3off,2020-01-10
7425,GALAH 3H,24:00:00,48.35,56.0,27.0,225,100,,2020-01-10
7426,GOANNA 1H,24:00:00,48.48,39.0,65.0,220,100,,2020-01-10
7427,GREAT WHITE 1H,24:00:00,80.01,269.8,35.0,125,90,,2020-01-10
7428,GREAT WHITE 2H,24:00:00,85.83,104.53,30.0,125,90,,2020-01-10
7429,JAVELINA 1H,24:00:00,28.34,17.35,10.0,150,80,20on2off,2020-01-10
7430,MANTA 1H,24:00:00,50.21,66.34,45.0,220,100,,2020-01-10
7431,REEF 3H,24:00:00,39.92,40.81,17.0,200,80,,2020-01-10
7432,RIDGEBACK 1H,24:00:00,21.73,13.8,5.0,120,70,,2020-01-10
7433,SEA WASP 2H,24:00:00,18.38,59.63,5.0,180,80,,2020-01-10
7434,STINGRAY 2H,24:00:00,40.1,18.1,23.0,225,90,,2020-01-10
7439,Summary,,679.02,1115.12,424.0,,,,2020-01-10
7435,THORNY DEVIL 1H,24:00:00,76.23,130.0,55.0,225,100,,2020-01-10
7436,THORNY DEVIL 2H,24:00:00,83.03,240.0,65.0,225,100,,2020-01-10
7437,THORNY DEVIL 3H,24:00:00,25.06,41.04,5.0,225,100,chem treated,2020-01-10
7438,WOMBAT 2H,24:00:00,16.7,14.72,22.0,220,90,,2020-01-10
7440,CROC 1H,24:00:00,18.7,4.0,18.0,200,70,3on3off,2020-01-09
7441,GALAH 3H,24:00:00,48.44,47.0,20.0,225,100,chem treated,2020-01-09
7442,GOANNA 1H,20:00,40.12,33.0,50.0,220,100,,2020-01-09
7443,GREAT WHITE 1H,24:00:00,80.0,275.72,46.67,125,90,,2020-01-09
7444,GREAT WHITE 2H,24:00:00,61.66,103.4,45.0,125,90,,2020-01-09
7445,JAVELINA 1H,24:00:00,25.01,16.84,16.0,150,80,20on2off,2020-01-09
7446,MANTA 1H,24:00:00,44.63,62.0,42.0,220,100,chem treated,2020-01-09
7447,REEF 3H,24:00:00,43.25,40.81,15.0,200,80,,2020-01-09
7448,RIDGEBACK 1H,24:00:00,20.05,13.26,8.0,120,70,,2020-01-09
7449,SEA WASP 2H,24:00:00,16.71,57.29,5.0,150,80,,2020-01-09
7450,STINGRAY 2H,24:00:00,30.07,53.99,15.0,225,90,,2020-01-09
7455,Summary,,619.92,1097.31,441.67,,,,2020-01-09
7451,THORNY DEVIL 1H,24:00:00,73.15,128.0,68.0,225,100,,2020-01-09
7452,THORNY DEVIL 2H,24:00:00,81.37,206.0,68.0,225,100,,2020-01-09
7453,THORNY DEVIL 3H,24:00:00,20.06,41.0,8.0,225,100,,2020-01-09
7454,WOMBAT 2H,24:00:00,16.7,15.0,17.0,220,90,,2020-01-09
7456,CROC 1H,24:00:00,24.73,5.46,18.0,200,70,3on3off,2020-01-08
7457,GALAH 3H,24:00:00,45.1,62.06,18.0,225,100,,2020-01-08
7458,GOANNA 1H,18:00,40.12,4.46,62.0,220,100,,2020-01-08
7459,GREAT WHITE 1H,24:00:00,73.17,264.6,36.74,125,90,,2020-01-08
7460,GREAT WHITE 2H,24:00:00,65.0,108.9,46.67,125,90,,2020-01-08
7461,JAVELINA 1H,24:00:00,21.67,17.29,10.0,150,80,20on2off,2020-01-08
7462,MANTA 1H,24:00:00,47.41,73.96,42.0,220,100,,2020-01-08
7463,REEF 3H,24:00:00,34.99,42.45,12.0,200,80,,2020-01-08
7464,RIDGEBACK 1H,24:00:00,20.05,17.85,7.0,120,70,,2020-01-08
7465,SEA WASP 2H,24:00:00,20.05,58.53,6.66,150,80,,2020-01-08
7466,STINGRAY 2H,24:00:00,30.17,21.38,12.0,225,90,,2020-01-08
7471,Summary,,633.29,1058.87,430.07,,,,2020-01-08
7467,THORNY DEVIL 1H,24:00:00,76.47,131.9,63.0,225,100,,2020-01-08
7468,THORNY DEVIL 2H,24:00:00,87.57,189.93,67.0,220,100,,2020-01-08
7469,THORNY DEVIL 3H,24:00:00,28.42,39.07,7.0,225,100,,2020-01-08
7470,WOMBAT 2H,24:00:00,18.37,21.03,22.0,220,90,,2020-01-08
7472,CROC 1H,24:00:00,21.69,16.8,3.0,200,70,3on3off,2020-01-07
7473,GALAH 3H,24:00:00,43.42,56.0,15.0,225,100,,2020-01-07
7474,GOANNA 1H,5:00,8.36,4.0,10.0,220,100,DOA(low oil-leaking). Mechanic on site.,2020-01-07
7475,GREAT WHITE 1H,24:00:00,80.0,271.29,40.0,125,90,,2020-01-07
7476,GREAT WHITE 2H,24:00:00,60.0,98.59,33.33,125,90,,2020-01-07
7477,JAVELINA 1H,24:00:00,25.01,17.68,14.0,150,80,20on2off,2020-01-07
7478,MANTA 1H,24:00:00,44.63,80.0,45.0,220,100,,2020-01-07
7479,REEF 3H,24:00:00,38.27,46.29,8.0,200,80,,2020-01-07
7480,RIDGEBACK 1H,24:00:00,15.04,8.17,4.0,120,70,,2020-01-07
7481,SEA WASP 2H,24:00:00,16.71,59.46,6.67,150,80,,2020-01-07
7482,STINGRAY 2H,24:00:00,22.95,17.87,8.0,225,90,,2020-01-07
7487,Summary,,589.23,1030.15,371.0,,,,2020-01-07
7483,THORNY DEVIL 1H,24:00:00,75.02,127.0,80.0,225,100,,2020-01-07
7484,THORNY DEVIL 2H,24:00:00,89.67,174.0,75.0,220,100,,2020-01-07
7485,THORNY DEVIL 3H,24:00:00,28.42,37.0,7.0,225,100,,2020-01-07
7486,WOMBAT 2H,24:00:00,20.04,16.0,22.0,220,90,,2020-01-07
7488,CROC 1H,24:00:00,19.97,16.8,7.0,0,0,3on3off,2020-01-06
7489,GALAH 3H,24:00:00,28.39,38.55,12.0,225,100,Pumped and Surged Tbg(good pump action),2020-01-06
7490,GOANNA 1H,5:00,16.72,24.95,27.0,220,100,DOA(low oil-leaking around filter). Mechanic on site.,2020-01-06
7491,GREAT WHITE 1H,24:00:00,73.78,269.87,33.33,125,90,,2020-01-06
7492,GREAT WHITE 2H,24:00:00,69.7,105.2,36.67,125,90,,2020-01-06
7493,JAVELINA 1H,24:00:00,26.55,17.19,12.0,150,80,20on2off,2020-01-06
7494,MANTA 1H,24:00:00,41.92,66.65,45.0,220,100,,2020-01-06
7495,REEF 3H,24:00:00,41.61,46.29,17.0,200,80,,2020-01-06
7496,RIDGEBACK 1H,24:00:00,18.46,13.28,5.0,120,70,,2020-01-06
7497,SEA WASP 2H,24:00:00,18.38,58.09,3.33,150,80,,2020-01-06
7498,STINGRAY 2H,24:00:00,26.74,44.28,15.0,225,90,,2020-01-06
7503,Summary,,595.23,1042.55,400.33,,,,2020-01-06
7499,THORNY DEVIL 1H,24:00:00,88.06,118.26,82.0,225,100,,2020-01-06
7500,THORNY DEVIL 2H,24:00:00,88.15,159.51,70.0,220,100,,2020-01-06
7501,THORNY DEVIL 3H,24:00:00,16.72,42.66,13.0,225,100,Pumped and Surged Tbg(good pump action),2020-01-06
7502,WOMBAT 2H,24:00:00,20.08,20.97,22.0,220,90,"Timer: 20hrs ON, 4hrs OFF",2020-01-06
7504,CROC 1H,24:00:00,16.63,13.31,14.0,200,70,3on3off,2020-01-05
7505,GALAH 3H,24:00:00,41.66,57.38,7.0,225,100,,2020-01-05
7506,GOANNA 1H,20:00,46.81,26.27,65.0,220,100,BOL,2020-01-05
7507,GREAT WHITE 1H,24:00:00,81.67,278.0,38.0,125,90,,2020-01-05
7508,GREAT WHITE 2H,24:00:00,71.67,108.0,35.0,125,90,,2020-01-05
7509,JAVELINA 1H,24:00:00,25.01,17.65,14.0,150,80,20on2off,2020-01-05
7510,MANTA 1H,24:00:00,42.82,61.77,47.0,220,100,,2020-01-05
7511,REEF 3H,24:00:00,43.24,46.25,13.0,200,80,,2020-01-05
7512,RIDGEBACK 1H,24:00:00,21.84,13.35,15.0,120,70,,2020-01-05
7513,SEA WASP 2H,24:00:00,18.41,57.85,5.0,150,80,,2020-01-05
7514,STINGRAY 2H,24:00:00,28.42,24.0,12.0,225,90,,2020-01-05
7519,Summary,,597.37,1000.32,455.0,,,,2020-01-05
7515,THORNY DEVIL 1H,24:00:00,33.23,102.39,87.0,225,100,,2020-01-05
7516,THORNY DEVIL 2H,24:00:00,84.69,147.39,75.0,220,100,,2020-01-05
7517,THORNY DEVIL 3H,24:00:00,28.42,33.94,5.0,225,100,,2020-01-05
7518,WOMBAT 2H,24:00:00,12.85,12.77,23.0,220,90,,2020-01-05
7520,CROC 1H,24:00:00,18.3,13.0,8.0,200,70,3on3off,2020-01-04
7521,GALAH 3H,24:00:00,41.75,36.38,22.0,225,100,,2020-01-04
7522,GOANNA 1H,20:00,28.46,52.52,43.0,220,100,DOA. Will not stay running.(awaiting mechanic),2020-01-04
7523,GREAT WHITE 1H,24:00:00,82.92,286.0,38.34,125,90,,2020-01-04
7524,GREAT WHITE 2H,24:00:00,65.0,104.0,33.33,125,90,,2020-01-04
7525,JAVELINA 1H,24:00:00,25.01,17.03,10.0,150,80,20on2off,2020-01-04
7526,MANTA 1H,24:00:00,41.84,51.05,33.0,220,100,,2020-01-04
7527,REEF 3H,24:00:00,48.24,46.0,16.0,200,80,,2020-01-04
7528,RIDGEBACK 1H,24:00:00,15.28,13.14,9.0,120,70,,2020-01-04
7529,SEA WASP 2H,24:00:00,16.78,59.0,5.0,150,80,,2020-01-04
7530,STINGRAY 2H,24:00:00,25.07,46.0,10.0,225,90,,2020-01-04
7535,Summary,,586.74,1006.28,455.67,,,,2020-01-04
7531,THORNY DEVIL 1H,24:00:00,56.57,87.2,115.0,225,100,,2020-01-04
7532,THORNY DEVIL 2H,24:00:00,73.07,138.95,78.0,220,100,,2020-01-04
7533,THORNY DEVIL 3H,24:00:00,28.41,35.36,13.0,225,100,,2020-01-04
7534,WOMBAT 2H,24:00:00,20.04,20.65,22.0,220,90,,2020-01-04
7536,CROC 1H,24:00:00,21.63,4.0,5.0,200,70,3on3off,2020-01-03
7537,GALAH 3H,24:00:00,46.76,48.1,23.0,225,100,,2020-01-03
7538,GOANNA 1H,24:00:00,39.68,54.35,50.0,220,100,,2020-01-03
7539,GREAT WHITE 1H,24:00:00,83.34,291.81,40.0,125,90,,2020-01-03
7540,GREAT WHITE 2H,24:00:00,63.34,107.19,31.67,125,90,,2020-01-03
7541,JAVELINA 1H,24:00:00,21.68,18.06,9.0,150,80,20on2off,2020-01-03
7542,MANTA 1H,24:00:00,42.07,46.61,33.0,220,100,,2020-01-03
7543,REEF 3H,24:00:00,46.57,4.0,16.0,200,80,,2020-01-03
7544,RIDGEBACK 1H,24:00:00,18.38,13.71,7.0,120,70,,2020-01-03
7545,SEA WASP 2H,24:00:00,14.18,57.22,6.67,150,80,,2020-01-03
7546,STINGRAY 2H,24:00:00,31.76,24.9,17.0,225,90,,2020-01-03
7551,Summary,,557.67,906.37,431.34,,,,2020-01-03
7547,THORNY DEVIL 1H,24:00:00,8.34,55.07,95.0,225,100,,2020-01-03
7548,THORNY DEVIL 2H,24:00:00,83.17,133.2,70.0,220,100,,2020-01-03
7549,THORNY DEVIL 3H,24:00:00,16.73,35.66,8.0,225,100,,2020-01-03
7550,WOMBAT 2H,24:00:00,20.04,12.49,20.0,220,90,,2020-01-03
7552,CROC 1H,24:00:00,23.3,13.75,3.0,200,70,3on3off,2020-01-02
7553,GALAH 3H,24:00:00,51.59,48.0,23.0,225,100,,2020-01-02
7554,GOANNA 1H,24:00:00,48.48,54.0,47.0,220,100,,2020-01-02
7555,GREAT WHITE 1H,24:00:00,86.58,290.74,50.1,125,90,,2020-01-02
7556,GREAT WHITE 2H,24:00:00,61.68,106.45,40.08,125,90,,2020-01-02
7557,JAVELINA 1H,24:00:00,23.35,18.39,15.0,150,80,20 on 2 off,2020-01-02
7558,MANTA 1H,24:00:00,41.9,40.0,36.0,220,100,,2020-01-02
7559,REEF 3H,24:00:00,38.43,45.4,12.0,200,80,,2020-01-02
7560,RIDGEBACK 1H,24:00:00,21.73,13.6,5.0,120,70,,2020-01-02
7561,SEA WASP 2H,24:00:00,20.05,58.28,6.67,150,80,,2020-01-02
7562,STINGRAY 2H,24:00:00,35.1,49.77,20.0,225,90,,2020-01-02
7567,Summary,,560.23,964.38,471.85,,,,2020-01-02
7563,THORNY DEVIL 1H,24:00:00,1.25,45.0,90.0,225,100,8 spm,2020-01-02
7564,THORNY DEVIL 2H,24:00:00,59.78,120.0,92.0,220,100,,2020-01-02
7565,THORNY DEVIL 3H,24:00:00,25.3,40.0,10.0,225,100,,2020-01-02
7566,WOMBAT 2H,24:00:00,21.71,21.0,22.0,220,90,,2020-01-02
7568,CROC 1H,24:00:00,24.95,16.39,5.0,200,70,3on3off,2020-01-01
7569,GALAH 3H,24:00:00,48.48,50.0,22.0,225,100,,2020-01-01
7570,GOANNA 1H,24:00:00,53.5,47.0,50.0,220,100,,2020-01-01
7571,GREAT WHITE 1H,24:00:00,86.0,289.65,35.0,125,90,,2020-01-01
7572,GREAT WHITE 2H,24:00:00,66.68,111.6,40.0,125,90,,2020-01-01
7573,JAVELINA 1H,24:00:00,25.01,17.65,7.0,150,80,20 on 2 off,2020-01-01
7574,MANTA 1H,24:00:00,41.92,4.0,33.0,220,100,bp - valve leaking / replaced snap pilot wtr dump,2020-01-01
7575,REEF 3H,24:00:00,39.92,40.83,18.0,200,80,,2020-01-01
7576,RIDGEBACK 1H,24:00:00,18.38,13.72,7.0,120,70,,2020-01-01
7577,SEA WASP 2H,24:00:00,21.72,53.87,6.66,150,80,,2020-01-01
7578,STINGRAY 2H,24:00:00,34.8,19.93,2.0,225,90,,2020-01-01
7583,Summary,,550.04,804.64,460.66,,,,2020-01-01
7579,THORNY DEVIL 1H,13:00,0.01,0.01,80.0,225,100,,2020-01-01
7580,THORNY DEVIL 2H,24:00:00,48.16,84.0,122.0,220,100,,2020-01-01
7581,THORNY DEVIL 3H,24:00:00,20.1,43.0,10.0,225,100,,2020-01-01
7582,WOMBAT 2H,24:00:00,20.01,13.0,23.0,220,90,,2020-01-01
7584,CROC 1H,24:00:00,18.29,13.26,3.0,200,70,3on3off,2019-12-31
7585,GALAH 3H,24:00:00,46.79,45.0,20.0,225,100,,2019-12-31
7586,GOANNA 1H,24:00:00,53.53,15.0,52.0,220,100,,2019-12-31
7587,GREAT WHITE 1H,24:00:00,81.66,302.0,45.0,125,90,,2019-12-31
7588,GREAT WHITE 2H,24:00:00,66.67,103.0,25.0,125,90,,2019-12-31
7589,JAVELINA 1H,24:00:00,23.43,17.96,16.0,150,80,20 on 2 off,2019-12-31
7590,MANTA 1H,24:00:00,30.68,30.0,33.0,220,100,chem treated,2019-12-31
7591,REEF 3H,24:00:00,39.63,42.9,10.0,200,80,,2019-12-31
7592,RIDGEBACK 1H,24:00:00,20.15,13.15,10.0,120,70,,2019-12-31
7593,SEA WASP 2H,24:00:00,10.03,59.29,1.67,150,80,,2019-12-31
7594,STINGRAY 2H,24:00:00,20.07,35.0,25.0,225,90,,2019-12-31
7599,Summary,,468.08,815.56,395.67,,,,2019-12-31
7595,THORNY DEVIL 1H,0:00,0.01,37.0,0.01,0,0,w.o. on location,2019-12-31
7596,THORNY DEVIL 2H,24:00:00,9.96,47.0,127.0,220,100,,2019-12-31
7597,THORNY DEVIL 3H,24:00:00,28.42,35.0,8.0,225,100,,2019-12-31
7598,WOMBAT 2H,24:00:00,18.37,20.0,20.0,220,90,,2019-12-31
7600,CROC 1H,24:00:00,23.29,16.72,5.0,200,70,3on3off,2019-12-30
7601,GALAH 3H,24:00:00,41.4,45.84,20.0,225,100,,2019-12-30
7602,GOANNA 1H,22:00,30.11,52.63,48.0,220,100,doa - low oil,2019-12-30
7603,GREAT WHITE 1H,24:00:00,80.1,290.9,40.08,125,90,,2019-12-30
7604,GREAT WHITE 2H,24:00:00,75.01,107.96,35.0,125,90,,2019-12-30
7605,JAVELINA 1H,24:00:00,31.7,17.13,7.0,150,80,20 on 2 off,2019-12-30
7606,MANTA 1H,24:00:00,33.48,42.0,36.0,220,100,,2019-12-30
7607,REEF 3H,24:00:00,46.6,45.31,18.0,200,80,,2019-12-30
7608,RIDGEBACK 1H,24:00:00,18.38,13.43,0.01,120,70,,2019-12-30
7609,SEA WASP 2H,24:00:00,18.38,58.47,6.67,150,80,,2019-12-30
7610,STINGRAY 2H,24:00:00,28.41,37.2,10.0,225,90,,2019-12-30
7615,Summary,,483.59,993.24,405.75,,,,2019-12-30
7611,THORNY DEVIL 1H,4:00,14.96,109.94,18.0,0,0,w.o. on location,2019-12-30
7612,THORNY DEVIL 2H,24:00:00,0.01,98.8,135.0,220,100,,2019-12-30
7613,THORNY DEVIL 3H,24:00:00,25.07,40.91,10.0,225,100,,2019-12-30
7614,WOMBAT 2H,24:00:00,16.7,16.0,17.0,220,90,,2019-12-30
7616,CROC 1H,24:00:00,24.94,15.17,5.0,200,70,3on3off,2019-12-29
7617,GALAH 3H,24:00:00,42.55,47.0,23.0,225,100,,2019-12-29
7618,GOANNA 1H,24:00:00,53.53,42.0,60.0,220,100,,2019-12-29
7619,GREAT WHITE 1H,24:00:00,86.66,288.18,43.33,125,90,,2019-12-29
7620,GREAT WHITE 2H,24:00:00,65.01,108.29,35.0,125,90,,2019-12-29
7621,JAVELINA 1H,24:00:00,23.35,18.48,13.0,150,80,20 on 2 off,2019-12-29
7622,MANTA 1H,24:00:00,33.47,40.0,47.0,220,100,,2019-12-29
7623,REEF 3H,24:00:00,39.76,46.47,10.0,200,80,,2019-12-29
7624,RIDGEBACK 1H,24:00:00,21.73,13.76,5.0,120,70,,2019-12-29
7625,SEA WASP 2H,24:00:00,18.38,58.67,5.0,150,80,,2019-12-29
7626,STINGRAY 2H,24:00:00,23.39,18.49,15.0,225,90,,2019-12-29
7631,Summary,,542.68,891.51,463.33,,,,2019-12-29
7627,THORNY DEVIL 1H,24:00:00,69.82,119.0,38.0,125,550,,2019-12-29
7628,THORNY DEVIL 2H,14:00,0.01,20.0,134.0,220,100,,2019-12-29
7629,THORNY DEVIL 3H,24:00:00,21.72,38.0,10.0,225,100,,2019-12-29
7630,WOMBAT 2H,24:00:00,18.37,18.0,20.0,220,90,,2019-12-29
7632,CROC 1H,24:00:00,19.95,15.17,5.0,200,70,3on3off,2019-12-28
7633,GALAH 3H,24:00:00,51.8,46.0,22.0,225,100,,2019-12-28
7634,GOANNA 1H,24:00:00,56.35,44.0,58.0,220,100,,2019-12-28
7635,GREAT WHITE 1H,24:00:00,81.67,286.48,40.0,125,90,,2019-12-28
7636,GREAT WHITE 2H,24:00:00,60.0,110.35,31.66,125,90,,2019-12-28
7637,JAVELINA 1H,24:00:00,23.34,18.64,12.0,150,80,,2019-12-28
7638,MANTA 1H,24:00:00,36.26,45.33,45.0,220,100,,2019-12-28
7639,REEF 3H,24:00:00,41.6,46.47,12.0,200,80,,2019-12-28
7640,RIDGEBACK 1H,24:00:00,20.05,13.76,7.0,120,70,,2019-12-28
7641,SEA WASP 2H,24:00:00,16.71,57.87,3.33,150,80,,2019-12-28
7642,STINGRAY 2H,24:00:00,26.74,33.48,23.0,225,90,,2019-12-28
7647,Summary,,554.66,914.55,331.99,,,,2019-12-28
7643,THORNY DEVIL 1H,24:00:00,73.41,120.0,40.0,125,550,,2019-12-28
7644,THORNY DEVIL 2H,0:00,0.01,20.0,0.01,0,0,w.o. on location /  started unit @ 530pm,2019-12-28
7645,THORNY DEVIL 3H,24:00:00,28.41,37.0,8.0,225,100,,2019-12-28
7646,WOMBAT 2H,24:00:00,18.37,20.0,25.0,220,90,,2019-12-28
7648,CROC 1H,24:00:00,20.1,15.53,15.0,200,70,3on3off,2019-12-27
7649,GALAH 3H,24:00:00,50.13,53.0,20.0,225,100,,2019-12-27
7650,GOANNA 1H,24:00:00,55.21,44.66,62.0,220,100,,2019-12-27
7651,GREAT WHITE 1H,24:00:00,89.61,287.69,48.43,125,90,,2019-12-27
7652,GREAT WHITE 2H,24:00:00,73.34,107.55,40.08,125,90,,2019-12-27
7653,JAVELINA 1H,24:00:00,23.35,18.64,13.0,150,80,20 off 2 on,2019-12-27
7654,MANTA 1H,24:00:00,39.05,47.97,42.0,220,100,,2019-12-27
7655,REEF 3H,24:00:00,46.64,48.85,13.0,200,80,,2019-12-27
7656,RIDGEBACK 1H,24:00:00,20.05,13.96,7.0,120,70,,2019-12-27
7657,SEA WASP 2H,24:00:00,20.05,58.65,8.33,150,80,,2019-12-27
7658,STINGRAY 2H,24:00:00,40.1,48.83,13.0,225,90,,2019-12-27
7663,Summary,,598.48,981.33,352.84,,,,2019-12-27
7659,THORNY DEVIL 1H,24:00:00,73.14,119.0,40.0,125,550,,2019-12-27
7660,THORNY DEVIL 2H,1:00,0.01,61.0,0.01,0,0,w.o. on location - rod up,2019-12-27
7661,THORNY DEVIL 3H,24:00:00,30.56,42.0,8.0,225,100,,2019-12-27
7662,WOMBAT 2H,24:00:00,17.15,14.0,23.0,220,90,,2019-12-27
7664,CROC 1H,24:00:00,21.63,13.35,10.0,0,0,3on3off,2019-12-26
7665,GALAH 3H,24:00:00,53.47,36.22,18.0,225,100,,2019-12-26
7666,GOANNA 1H,24:00:00,56.87,44.67,60.0,220,100,,2019-12-26
7667,GREAT WHITE 1H,24:00:00,86.67,285.8,43.33,125,90,,2019-12-26
7668,GREAT WHITE 2H,24:00:00,61.67,107.88,38.33,125,90,leak on dump line on 90 going into water tank( put on WFM),2019-12-26
7669,JAVELINA 1H,24:00:00,25.01,19.6,10.0,150,80,22 on 2 off,2019-12-26
